on_date,off_date,route_name,descr,age_type,trans_yn,addfee_yn,start_bstop,start_gps_x,start_gps_y,end_bstop,end_gps_x,end_gps_y
20200119051540,20200119055224,175,문덕-고속터미널-선린병원-달전,일반,N,N,준양주택3차,129.403063,35.960871,고속버스터미널,129.367583,36.027026
20200119051621,20200119054738,175,문덕-고속터미널-선린병원-달전,일반,N,N,문덕사거리,129.403178,35.962298,대해시장,129.369728,36.018909
20200119051748,20200119054637,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,문덕사거리,129.403442,35.962846,죽도시장,129.365169,36.035704
20200119051845,20200119052631,131,양덕-송도-시청-양학-양덕,일반,N,N,우방비치타운,129.376287,36.054774,죽도시장,129.365486,36.03411
20200119051909,20200119054041,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,법원검찰청,129.387127,36.090359,북구청,129.367128,36.041941
20200119051913,20200119052338,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천농협,129.40281,35.970003,남부교회,129.40975,35.968203
20200119052003,20200119053041,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장량휴먼시아,129.383462,36.0908,두호초등학교,129.371202,36.064088
20200119052407,20200119053813,109,양덕-시외터미널-위덕대(유강),일반,N,N,삼구4차,129.392269,36.089308,우창동주민센터,129.36193,36.05391
20200119052458,20200119054338,101,양덕-고속터미널-동해,일반,N,N,남광하우스토리,129.396676,36.084132,죽도시장,129.365486,36.03411
20200119052511,20200119053152,200,양덕-남구청(야구장)-구룡포,일반,N,N,우방비치타운,129.376287,36.054774,고용복지플러스센터,129.358125,36.022995
20200119052636,20200119054652,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량5단지,129.394611,36.089082,죽도시장,129.365717,36.033299
20200119052653,20200119053216,160,문덕-대송-송도-죽도-용흥,일반,N,N,대송교회,129.362279,35.981103,단지주유소,129.38059,36.0041
20200119052836,20200119054034,105,양덕-시외터미널-지곡,일반,N,N,북구보건소,129.379384,36.07079,포항세관,129.37188,36.05145
20200119052900,20200119055136,105,양덕-시외터미널-지곡,일반,N,N,양덕차고지,129.401693,36.077258,중앙상가,129.365461,36.03783
20200119052928,20200119054446,100,문덕-흥해-신광,일반,N,N,해병대서문,129.413868,35.975902,시외버스터미널,129.35058,36.01325
20200119052940,20200119055619,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천농협세계지점,129.41597,35.96745,죽도시장,129.365169,36.035704
20200119052955,20200119054148,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장성초등학교,129.37209,36.06831,중앙상가,129.365461,36.03783
20200119052957,20200119054207,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장성초등학교,129.37209,36.06831,죽도시장,129.365717,36.033299
20200119053026,20200119060801,200,양덕-남구청(야구장)-구룡포,일반,N,N,죽도파출소,129.36244,36.028422,구룡포환승센터,129.55527,35.990222
20200119053028,20200119060758,200,양덕-남구청(야구장)-구룡포,일반,N,N,죽도파출소,129.36244,36.028422,구룡포환승센터,129.55527,35.990222
20200119053102,20200119054138,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,두호초등학교,129.371202,36.064088,중앙상가,129.365461,36.03783
20200119053417,20200119055609,175,문덕-고속터미널-선린병원-달전,일반,N,N,우리유치원,129.411068,35.98237,죽도시장,129.365169,36.035704
20200119053459,20200119054334,105,양덕-시외터미널-지곡,어린이,N,N,두호초등학교,129.371202,36.064088,북구청,129.367128,36.041941
20200119053501,20200119054404,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,중앙상가,129.365461,36.03783
20200119053503,20200119054341,101,양덕-고속터미널-동해,일반,N,N,두호동주민센터,129.37891,36.06037,죽도시장,129.365486,36.03411
20200119053720,20200119055044,105,양덕-시외터미널-지곡,일반,N,N,장성럭키2차,129.37888,36.06705,중앙상가,129.365461,36.03783
20200119053929,20200119055335,105,양덕-시외터미널-지곡,일반,N,N,우방비치타운,129.376287,36.054774,산업은행,129.353856,36.017736
20200119053952,20200119055657,175,문덕-고속터미널-선린병원-달전,일반,N,N,남구보건소,129.397,35.992908,죽도시장,129.365169,36.035704
20200119054115,20200119055636,109,양덕-시외터미널-위덕대(유강),일반,N,N,세화고(상),129.3538,36.051907,시외버스터미널,129.35029,36.01328
20200119054151,20200119055227,100,문덕-흥해-신광,일반,N,N,문화예술회관,129.365538,36.010922,홈플러스,129.36464,36.03095
20200119054245,20200119054810,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,시청,129.34117,36.01833,시외버스터미널,129.35058,36.01325
20200119054353,20200119054728,109,양덕-시외터미널-위덕대(유강),일반,N,N,대동우방아파트,129.360209,36.050494,중앙상가,129.365461,36.03783
20200119054436,20200119054705,109,양덕-시외터미널-위덕대(유강),일반,N,N,우현경로당,129.362232,36.049878,중앙상가,129.365461,36.03783
20200119054459,20200119055420,131,양덕-송도-시청-양학-양덕,일반,N,N,이동그린빌,129.34032,36.0277,죽도시장,129.365169,36.035704
20200119054522,20200119055932,175,문덕-고속터미널-선린병원-달전,청소년,N,N,오천농협,129.40281,35.970003,해병대서문,129.413868,35.975902
20200119054546,20200119060153,510,문덕-흥해-청하-보경사-청하-흥해-문덕,일반,N,N,연일읍사무소,129.3462,35.991858,죽도시장,129.365169,36.035704
20200119054549,20200119055735,105,양덕-시외터미널-지곡,일반,N,N,럭키아파트,129.37919,36.06511,북구청,129.367128,36.041941
20200119054559,20200119060406,107,문덕-시외(고속)터미널-흥해,일반,N,N,문덕사거리,129.403442,35.962846,시외버스터미널,129.35058,36.01325
20200119054601,20200119060541,107,문덕-시외(고속)터미널-흥해,일반,N,N,문덕사거리,129.403442,35.962846,교보생명,129.3525,36.015568
20200119054645,20200119055613,175,문덕-고속터미널-선린병원-달전,일반,N,N,새마을금고해도지점,129.370626,36.015468,죽도시장,129.365169,36.035704
20200119054701,20200119061022,107,문덕-시외(고속)터미널-흥해,일반,N,N,흥해롯데리아,129.345036,36.108736,고속버스터미널,129.36695,36.02852
20200119054753,20200119055841,510,문덕-흥해-청하-보경사-청하-흥해-문덕,일반,N,N,경북자동차학원,129.343972,35.997978,죽도파출소,129.362644,36.028456
20200119054827,20200119062728,107,문덕-시외(고속)터미널-흥해,일반,N,N,쌍용사거리,129.35493,36.0154,대성아파트(방통대),129.34214,36.1115
20200119054829,20200119055954,200,양덕-남구청(야구장)-구룡포,일반,N,N,환호여중,129.399151,36.0712,죽도시장,129.365717,36.033299
20200119054903,20200119055936,105,양덕-시외터미널-지곡,일반,N,N,장성초등학교,129.37209,36.06831,죽도시장,129.365717,36.033299
20200119054926,20200119063126,100,문덕-흥해-신광,일반,N,N,문덕차고지,129.389553,35.940106,시외버스터미널,129.35029,36.01328
