on_date,off_date,route_name,descr,age_type,trans_yn,addfee_yn,start_bstop,start_gps_x,start_gps_y,end_bstop,end_gps_x,end_gps_y
20200202051835,20200202053233,200,양덕-남구청(야구장)-구룡포,일반,N,N,라메르웨딩컨벤션,129.396573,36.06964,교보생명,129.352235,36.015721
20200202052123,20200202055733,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,문덕온천,129.406532,35.961964,오거리,129.366312,36.031816
20200202052440,20200202054357,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량5단지,129.394611,36.089082,죽도시장,129.365717,36.033299
20200202052501,20200202053438,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장량휴먼시아,129.383462,36.0908,두호초등학교,129.371202,36.064088
20200202052625,20200202053534,105,양덕-시외터미널-지곡,일반,N,N,북구보건소,129.379384,36.07079,포항세관,129.37188,36.05145
20200202052630,20200202053933,105,양덕-시외터미널-지곡,일반,N,N,북구보건소,129.379384,36.07079,죽도시장,129.365717,36.033299
20200202052725,20200202054608,102,문덕-남구청-고속터미널-북구보건소-양덕,청소년,N,N,해병대서문,129.413868,35.975902,대도교회,129.3563,36.00979
20200202052943,20200202055031,107,문덕-시외(고속)터미널-흥해,일반,N,N,문덕사거리,129.403442,35.962846,쌍용사거리,129.35493,36.0154
20200202053003,20200202055114,105,양덕-시외터미널-지곡,청소년,N,N,장성초등학교,129.37209,36.06831,시외버스터미널,129.35029,36.01328
20200202053121,20200202055254,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천환승센터,129.414826,35.965753,오거리,129.366312,36.031816
20200202053305,20200202054949,100,문덕-흥해-신광,일반,N,N,해병대서문,129.413868,35.975902,시외버스터미널,129.35058,36.01325
20200202053307,20200202053818,100,문덕-흥해-신광,일반,N,N,해병대서문,129.413868,35.975902,청림초등학교,129.405275,35.993257
20200202053309,20200202053826,100,문덕-흥해-신광,청소년,N,N,해병대서문,129.413868,35.975902,청림초등학교,129.405275,35.993257
20200202053311,20200202053827,100,문덕-흥해-신광,일반,N,N,해병대서문,129.413868,35.975902,청림초등학교,129.405275,35.993257
20200202053456,20200202054418,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,두호초등학교,129.371202,36.064088,죽도시장,129.365717,36.033299
20200202053552,20200202054400,101,양덕-고속터미널-동해,일반,N,N,롯데아파트,129.3775,36.05792,중앙상가,129.365281,36.037455
20200202053613,20200202055200,100,문덕-흥해-신광,일반,N,N,우리유치원,129.411068,35.98237,교보생명,129.3525,36.015568
20200202053753,20200202055412,101,양덕-고속터미널-동해,일반,N,N,풍림아이원,129.401705,36.085096,북부시장/채움병원,129.36942,36.04605
20200202053936,20200202054409,105,양덕-시외터미널-지곡,일반,N,N,죽도시장,129.365717,36.033299,죽도파출소,129.36244,36.028422
20200202053947,20200202054837,105,양덕-시외터미널-지곡,청소년,N,N,장성초등학교,129.37209,36.06831,북부시장/채움병원,129.36942,36.04605
20200202054002,20200202055226,109,양덕-시외터미널-위덕대(유강),일반,N,N,여성문화회관,129.363616,36.054868,중앙상가,129.365461,36.03783
20200202054337,20200202055839,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,형산로터리,129.36847,36.01163,죽도시장,129.365169,36.035704
20200202054523,20200202055135,700,양덕-세무서-시외터미널-안강-기계,일반,N,N,노인복지회관,129.38477,36.065685,건강가정다문화센터,129.365509,36.048
20200202054621,20200202061228,107,문덕-시외(고속)터미널-흥해,일반,N,N,흥해환승센터,129.34709,36.11024,KT(세명기독병원),129.36022,36.01734
20200202054706,20200202060100,105,양덕-시외터미널-지곡,일반,N,N,북구보건소,129.379384,36.07079,중앙상가,129.365461,36.03783
20200202054710,20200202055142,109,양덕-시외터미널-위덕대(유강),일반,N,N,우현경로당,129.362232,36.049878,중앙상가,129.365461,36.03783
20200202054749,20200202063756,210,양덕-우현사거리-KTX-남부육교-공항-동해-구룡포,일반,N,N,구룡포근대화거리,129.55997,35.990605,KTX포항역(흥해행),129.342018,36.072283
20200202054800,20200202055807,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,상대파출소,129.358699,36.014976,죽도시장,129.365169,36.035704
20200202054819,20200202055203,175,문덕-고속터미널-선린병원-달전,일반,N,N,새마을금고해도지점,129.370626,36.015468,고속버스터미널,129.367583,36.027026
20200202054822,20200202055347,175,문덕-고속터미널-선린병원-달전,일반,N,N,새마을금고해도지점,129.370626,36.015468,죽도시장,129.365169,36.035704
20200202054904,20200202060201,105,양덕-시외터미널-지곡,청소년,N,N,장성초등학교,129.37209,36.06831,죽도시장,129.365717,36.033299
20200202054924,20200202055913,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,두호초등학교,129.371202,36.064088,죽도시장,129.365717,36.033299
