on_date,off_date,route_name,descr,age_type,trans_yn,addfee_yn,start_bstop,start_gps_x,start_gps_y,end_bstop,end_gps_x,end_gps_y
20200203051422,20200203053735,200,양덕-남구청(야구장)-구룡포,청소년,N,N,양덕차고지,129.401693,36.077258,시외버스터미널,129.35029,36.01328
20200203051908,20200203054135,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,법원검찰청,129.387127,36.090359,죽도시장,129.365717,36.033299
20200203052001,20200203053627,101,양덕-고속터미널-동해,일반,N,N,삼성쉐르빌,129.405116,36.086449,북부시장/채움병원,129.36942,36.04605
20200203052005,20200203053003,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장량휴먼시아,129.383462,36.0908,두호초등학교,129.371202,36.064088
20200203052114,20200203053035,131,양덕-송도-시청-양학-양덕,일반,N,N,우방비치타운,129.376287,36.054774,죽도시장,129.365486,36.03411
20200203052331,20200203060110,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,문덕사거리,129.403623,35.962553,죽도시장,129.365169,36.035704
20200203052423,20200203053454,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,대림골든빌,129.37998,36.08127,선린병원,129.367635,36.04781
20200203052436,20200203055456,200,양덕-남구청(야구장)-구룡포,일반,N,N,롯데아파트,129.3775,36.05792,공항주유소,129.428443,35.990475
20200203052439,20200203062727,107,문덕-시외(고속)터미널-흥해,일반,N,N,문덕온천,129.406045,35.962358,흥해공고,129.34269,36.10415
20200203052442,20200203061603,107,문덕-시외(고속)터미널-흥해,일반,N,N,문덕온천,129.406045,35.962358,삼도드림파크,129.340176,36.076079
20200203052519,20200203054333,107,문덕-시외(고속)터미널-흥해,일반,N,N,문덕사거리,129.403442,35.962846,시외버스터미널,129.35058,36.01325
20200203052521,20200203054529,107,문덕-시외(고속)터미널-흥해,일반,N,N,문덕사거리,129.403442,35.962846,쌍용사거리,129.35493,36.0154
20200203052526,20200203055044,175,문덕-고속터미널-선린병원-달전,일반,N,N,부영사랑3차,129.40252,35.973038,오거리,129.366312,36.031816
20200203052605,20200203053923,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,오천읍사무소,129.414107,35.962802,남구보건소,129.397,35.992908
20200203052608,20200203053455,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,영일고등학교,129.35146,35.99697,시외버스터미널,129.35058,36.01325
20200203052610,20200203053519,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,영일고등학교,129.35146,35.99697,시외버스터미널,129.35058,36.01325
20200203052620,20200203055524,160,문덕-대송-송도-죽도-용흥,일반,N,N,송동,129.362327,35.970228,죽도시장,129.365169,36.035704
20200203052753,20200203053932,105,양덕-시외터미널-지곡,일반,N,N,장성초등학교,129.37209,36.06831,죽도시장,129.365717,36.033299
20200203052819,20200203053901,101,양덕-고속터미널-동해,일반,N,N,환호해맞이그린빌,129.392404,36.068838,죽도시장,129.365486,36.03411
20200203052826,20200203054656,100,문덕-흥해-신광,일반,N,N,오천농협세계지점,129.41597,35.96745,시외버스터미널,129.35058,36.01325
20200203052848,20200203055441,160,문덕-대송-송도-죽도-용흥,일반,N,N,대송교회,129.362279,35.981103,죽도시장,129.365169,36.035704
20200203052855,20200203055526,160,문덕-대송-송도-죽도-용흥,일반,N,N,대송교회,129.362279,35.981103,죽도시장,129.365169,36.035704
20200203053020,20200203054123,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,두호초등학교,129.371202,36.064088,중앙상가,129.365461,36.03783
20200203053029,20200203053938,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,죽도시장,129.365717,36.033299
20200203053032,20200203054650,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,산업은행,129.353856,36.017736
20200203053036,20200203054500,131,양덕-송도-시청-양학-양덕,일반,N,N,양덕차고지,129.401693,36.077258,선린병원,129.367635,36.04781
20200203053128,20200203054638,100,문덕-흥해-신광,일반,N,N,해병대서문,129.413868,35.975902,시외버스터미널,129.35058,36.01325
20200203053226,20200203053955,107,문덕-시외(고속)터미널-흥해,일반,N,N,장흥동사거리,129.362748,35.986967,SK뷰2차,129.340088,36.008734
20200203053243,20200203053522,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천읍사무소,129.414107,35.962802,용덕사거리,129.415174,35.972826
20200203053333,20200203054336,200,양덕-남구청(야구장)-구룡포,일반,N,N,GS슈퍼마켓,129.360253,36.02568,현대제철,129.377313,36.00699
20200203053405,20200203055214,105,양덕-시외터미널-지곡,일반,N,N,동부초등학교 후문,129.38105,36.06361,북구청,129.367128,36.041941
20200203053417,20200203055237,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천농협세계지점,129.41597,35.96745,죽도시장,129.365169,36.035704
20200203053451,20200203054942,105,양덕-시외터미널-지곡,일반,N,N,럭키아파트,129.37919,36.06511,북부시장/채움병원,129.36942,36.04605
20200203053501,20200203054416,131,양덕-송도-시청-양학-양덕,일반,N,N,환호해맞이그린빌,129.392404,36.068838,선린병원,129.367635,36.04781
20200203053508,20200203055642,800,문덕-장기(양포)-감포-장기(양포)-문덕,일반,N,N,오천농협,129.40281,35.970003,수성리딸기직판장,129.5005,35.885887
20200203053523,20200203054429,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,시외버스터미널,129.35058,36.01325,죽도시장,129.365169,36.035704
20200203053540,20200203055223,175,문덕-고속터미널-선린병원-달전,일반,N,N,해병대서문,129.413868,35.975902,죽도시장,129.365169,36.035704
20200203053556,20200203060020,107,문덕-시외(고속)터미널-흥해,청소년,N,N,동해주유소,129.343489,35.993624,오거리,129.366312,36.031816
20200203053610,20200203054951,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,청림초등학교,129.405275,35.993257,남부시장,129.35683,36.0128
20200203053722,20200203054633,131,양덕-송도-시청-양학-양덕,일반,N,N,영보빌라,129.374157,36.039168,대해성당,129.36836,36.01796
20200203053735,20200203060553,107,문덕-시외(고속)터미널-흥해,청소년,N,N,경북자동차학원,129.343972,35.997978,나루끝,129.364225,36.047577
20200203053736,20200203060118,107,문덕-시외(고속)터미널-흥해,청소년,N,N,경북자동차학원,129.343972,35.997978,죽도시장,129.365169,36.035704
20200203053737,20200203054813,200,양덕-남구청(야구장)-구룡포,일반,N,N,시외버스터미널,129.35029,36.01328,남구보건소,129.396855,35.992624
20200203053739,20200203053959,107,문덕-시외(고속)터미널-흥해,일반,N,N,경북자동차학원,129.343972,35.997978,SK뷰2차,129.340088,36.008734
20200203053741,20200203060116,107,문덕-시외(고속)터미널-흥해,청소년,N,N,경북자동차학원,129.343972,35.997978,죽도시장,129.365169,36.035704
20200203053744,20200203055233,175,문덕-고속터미널-선린병원-달전,일반,N,N,우리유치원,129.411068,35.98237,죽도시장,129.365169,36.035704
20200203053749,20200203060017,107,문덕-시외(고속)터미널-흥해,일반,N,N,경북자동차학원,129.343972,35.997978,오거리,129.366312,36.031816
20200203053753,20200203054411,107,문덕-시외(고속)터미널-흥해,일반,N,N,경북자동차학원,129.343972,35.997978,시외버스터미널,129.35058,36.01325
20200203053845,20200203061022,175,문덕-고속터미널-선린병원-달전,청소년,N,N,국민빌라,129.402976,35.957476,단지주유소,129.38059,36.0041
20200203053914,20200203054952,175,문덕-고속터미널-선린병원-달전,일반,N,N,동해빌라,129.406927,35.989222,고속버스터미널,129.367583,36.027026
20200203053931,20200203055308,105,양덕-시외터미널-지곡,일반,N,N,장성초등학교,129.37209,36.06831,중앙상가,129.365461,36.03783
20200203053938,20200203055757,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,용덕사거리,129.415174,35.972826,남구청(야구장),129.358615,36.009218
20200203054009,20200203055804,107,문덕-시외(고속)터미널-흥해,일반,N,N,SK뷰2차,129.340088,36.008734,오거리,129.366312,36.031816
20200203054034,20200203054258,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,우방비치타운,129.376287,36.054774,선린병원,129.367635,36.04781
20200203054041,20200203061317,800,문덕-장기(양포)-감포-장기(양포)-문덕,일반,N,N,오천농협세계지점,129.415848,35.96821,감포항,129.50243,35.804143
20200203054051,20200203055836,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량5단지,129.394611,36.089082,죽도시장,129.365717,36.033299
20200203054126,20200203055228,108,양덕-죽도-양학-시청-유강-지곡,청소년,N,N,장량휴먼시아,129.383462,36.0908,창포사거리,129.370292,36.060363
20200203054215,20200203055624,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량휴먼시아,129.383462,36.0908,북부시장,129.368033,36.045153
20200203054216,20200203060310,109,양덕-시외터미널-위덕대(유강),일반,N,N,우창동주민센터,129.36193,36.05391,시외버스터미널,129.35029,36.01328
20200203054339,20200203055629,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,삼도뷰엔빌,129.381502,36.088984,북부시장,129.368033,36.045153
20200203054601,20200203055240,175,문덕-고속터미널-선린병원-달전,일반,N,N,새마을금고해도지점,129.370626,36.015468,죽도시장,129.365169,36.035704
20200203054608,20200203060124,107,문덕-시외(고속)터미널-흥해,청소년,N,N,흥해환승센터,129.34709,36.11024,대동우방아파트,129.360209,36.050494
20200203054701,20200203055208,105,양덕-시외터미널-지곡,일반,N,N,포항세관,129.37188,36.05145,북구청,129.367128,36.041941
20200203054746,20200203060108,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,남구청(야구장),129.358615,36.009218,죽도시장,129.365169,36.035704
20200203054810,20200203055817,131,양덕-송도-시청-양학-양덕,일반,N,N,죽도시장,129.365486,36.03411,소망상사,129.37469,36.036474
20200203054813,20200203061016,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,포항테크노파크,129.31582,36.03172,죽도시장,129.365169,36.035704
20200203054938,20200203060323,131,양덕-송도-시청-양학-양덕,일반,N,N,낙천대,129.39065,36.075809,중앙상가,129.365281,36.037455
20200203054940,20200203060410,131,양덕-송도-시청-양학-양덕,일반,N,N,낙천대,129.39065,36.075809,중앙상가,129.365281,36.037455
20200203054953,20200203060616,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,오천환승센터,129.414826,35.965753,단지주유소,129.38059,36.0041
20200203054953,20200203055357,109,양덕-시외터미널-위덕대(유강),일반,N,N,우현경로당,129.362232,36.049878,중앙상가,129.365461,36.03783
20200203054958,20200203055530,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,연일전통시장,129.34877,35.99731,SK뷰2차,129.340088,36.008734
20200203055029,20200203060749,175,문덕-고속터미널-선린병원-달전,일반,N,N,삼도미래1단지,129.329658,36.078713,죽도시장,129.365486,36.03411
20200203055048,20200203062132,107,문덕-시외(고속)터미널-흥해,일반,N,N,선린대학,129.341,36.089216,시외버스터미널,129.35029,36.01328
20200203055049,20200203060120,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,오천농협세계지점,129.41597,35.96745,남구보건소,129.397,35.992908
20200203055055,20200203060119,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장성초등학교,129.37209,36.06831,죽도시장,129.365717,36.033299
20200203055058,20200203060528,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,경북자동차학원,129.343972,35.997978,죽도파출소,129.362644,36.028456
20200203055121,20200203061020,105,양덕-시외터미널-지곡,일반,N,N,포항테크노파크,129.31582,36.03172,죽도시장,129.365169,36.035704
20200203055122,20200203055440,100,문덕-흥해-신광,일반,N,N,GS슈퍼마켓,129.3605,36.0257,홈플러스,129.36464,36.03095
20200203055123,20200203060214,105,양덕-시외터미널-지곡,일반,N,N,포항테크노파크,129.31582,36.03172,시외버스터미널,129.35058,36.01325
20200203055126,20200203060249,105,양덕-시외터미널-지곡,일반,N,N,포항테크노파크,129.31582,36.03172,시외버스터미널,129.35058,36.01325
20200203055146,20200203061610,109,양덕-시외터미널-위덕대(유강),일반,N,N,장성고등학교,129.385798,36.085797,죽도시장,129.365717,36.033299
20200203055148,20200203061009,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,시외버스터미널,129.35029,36.01328
20200203055148,20200203063556,109,양덕-시외터미널-위덕대(유강),일반,N,N,장성고등학교,129.385798,36.085797,청구아파트사거리,129.3177,36.00452
20200203055229,20200203060448,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천환승센터,129.414826,35.965753,청림삼거리,129.402648,35.994424
20200203055250,20200203060838,101,양덕-고속터미널-동해,일반,N,N,남광하우스토리,129.396676,36.084132,북구청,129.367128,36.041941
20200203055252,20200203061518,101,양덕-고속터미널-동해,일반,N,N,남광하우스토리,129.396676,36.084132,해도119안전센터,129.36826,36.0235
20200203055255,20200203060013,160,문덕-대송-송도-죽도-용흥,일반,N,N,대송교회,129.362279,35.981103,단지주유소,129.38059,36.0041
20200203055300,20200203061652,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,삼성쉐르빌,129.405116,36.086449,죽도시장,129.365717,36.033299
20200203055308,20200203060137,105,양덕-시외터미널-지곡,일반,N,N,산책로,129.32103,36.02614,시외버스터미널,129.35058,36.01325
20200203055325,20200203062919,500,문덕-시외터미널-흥해-청하,일반,N,N,청하사거리,129.350465,36.201753,북구청,129.367128,36.041941
20200203055327,20200203055515,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,포항건강랜드,129.332727,36.026595,시청,129.3413,36.01809
20200203055337,20200203062104,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천농협세계지점,129.41597,35.96745,죽도시장,129.365169,36.035704
20200203055342,20200203060544,100,문덕-흥해-신광,일반,N,N,죽도파출소,129.362644,36.028456,유성여고,129.357399,36.054877
20200203055405,20200203060220,107,문덕-시외(고속)터미널-흥해,일반,N,N,동해주유소,129.343489,35.993624,시외버스터미널,129.35058,36.01325
20200203055413,20200203062339,101,양덕-고속터미널-동해,일반,N,N,동해면사무소,129.440228,35.988834,죽도시장,129.365169,36.035704
20200203055416,20200203061621,101,양덕-고속터미널-동해,일반,N,N,동해면사무소,129.440228,35.988834,새마을금고해도지점,129.370626,36.015468
20200203055504,20200203062205,107,문덕-시외(고속)터미널-흥해,일반,N,N,경북자동차학원,129.343972,35.997978,대동우방아파트,129.360148,36.05062
20200203055506,20200203061657,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량5단지,129.394611,36.089082,죽도시장,129.365717,36.033299
20200203055506,20200203060135,107,문덕-시외(고속)터미널-흥해,일반,N,N,경북자동차학원,129.343972,35.997978,시외버스터미널,129.35058,36.01325
20200203055511,20200203061259,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량5단지,129.394611,36.089082,선린병원,129.367635,36.04781
20200203055514,20200203060408,160,문덕-대송-송도-죽도-용흥,일반,N,N,하나로아파트,129.353828,36.047528,중앙상가,129.365281,36.037455
20200203055534,20200203061626,109,양덕-시외터미널-위덕대(유강),어린이,N,N,두산위브,129.38359,36.07454,죽도시장,129.365717,36.033299
20200203055557,20200203060144,131,양덕-송도-시청-양학-양덕,일반,N,N,남부육교,129.35293,36.02511,죽도시장,129.365169,36.035704
20200203055632,20200203061251,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,법원검찰청,129.387127,36.090359,롯데백화점,129.36933,36.05006
20200203055637,20200203060414,510,문덕-흥해-청하-보경사-청하-흥해-문덕,일반,N,N,시외버스터미널,129.35058,36.01325,죽도시장,129.365169,36.035704
20200203055640,20200203060742,175,문덕-고속터미널-선린병원-달전,일반,N,N,삼도드림파크(하),129.340292,36.076041,죽도시장,129.365486,36.03411
20200203055642,20200203062322,100,문덕-흥해-신광,일반,N,N,매산리,129.310457,36.112962,선린병원,129.367635,36.04781
