on_date,off_date,route_name,descr,age_type,trans_yn,addfee_yn,start_bstop,start_gps_x,start_gps_y,end_bstop,end_gps_x,end_gps_y
20200328051507,20200328060200,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,문덕사거리,129.403442,35.962846,흥해환승센터,129.3474,36.1103
20200328052122,20200328055541,175,문덕-고속터미널-선린병원-달전,일반,N,N,국민빌라,129.402976,35.957476,오거리,129.366312,36.031816
20200328052307,20200328054755,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,오천읍사무소,129.414107,35.962802,고속버스터미널,129.367583,36.027026
20200328052614,20200328055510,175,문덕-고속터미널-선린병원-달전,일반,N,N,부영사랑3차,129.40252,35.973038,오거리,129.366312,36.031816
20200328052620,20200328055534,175,문덕-고속터미널-선린병원-달전,일반,N,N,부영사랑3차,129.40252,35.973038,오거리,129.366312,36.031816
20200328052714,20200328060029,109,양덕-시외터미널-위덕대(유강),일반,N,N,장성고등학교,129.385798,36.085797,교보생명,129.352235,36.015721
20200328052935,20200328062427,107,문덕-시외(고속)터미널-흥해,일반,N,N,문덕사거리,129.403442,35.962846,흥해공고,129.34269,36.10415
20200328052948,20200328053930,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,죽도시장,129.365717,36.033299
20200328052956,20200328053817,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,중앙상가,129.365461,36.03783
20200328052959,20200328053933,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,죽도시장,129.365717,36.033299
20200328053158,20200328054646,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장성초등학교,129.37209,36.06831,죽도파출소,129.36244,36.028422
20200328053202,20200328061748,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,시외버스터미널,129.35058,36.01325,덕천리,129.34203,36.201578
20200328053243,20200328053820,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,교보생명,129.3525,36.015568,죽도시장,129.365169,36.035704
20200328053438,20200328054812,105,양덕-시외터미널-지곡,일반,N,N,우방비치타운,129.376287,36.054774,교보생명,129.352235,36.015721
20200328053515,20200328054846,100,문덕-흥해-신광,일반,N,N,동해빌라,129.40698,35.991508,시외버스터미널,129.35058,36.01325
20200328053545,20200328055227,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천농협세계지점,129.41597,35.96745,대해시장,129.369728,36.018909
20200328053650,20200328055515,175,문덕-고속터미널-선린병원-달전,일반,N,N,용덕사거리,129.415174,35.972826,오거리,129.366312,36.031816
20200328053836,20200328054805,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장성고등학교,129.385905,36.085742,HCN경북방송,129.37818,36.072156
20200328053906,20200328054701,107,문덕-시외(고속)터미널-흥해,일반,N,N,장흥동사거리,129.362748,35.986967,남부경찰서,129.343903,36.006979
20200328053917,20200328054243,131,양덕-송도-시청-양학-양덕,일반,N,N,롯데아파트,129.3775,36.05792,선린병원,129.367635,36.04781
20200328054036,20200328055753,175,문덕-고속터미널-선린병원-달전,일반,N,N,우리유치원,129.411068,35.98237,죽도시장,129.365169,36.035704
20200328054115,20200328060214,131,양덕-송도-시청-양학-양덕,일반,N,N,이동온천스포렉스,129.34101,36.02466,롯데백화점,129.37025,36.05028
20200328054128,20200328055001,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,중앙상가,129.365461,36.03783
20200328054132,20200328055038,160,문덕-대송-송도-죽도-용흥,일반,N,N,대해시장,129.369728,36.018909,죽도동민복지회관,129.36886,36.03337
20200328054142,20200328070900,107,문덕-시외(고속)터미널-흥해,일반,N,N,연일읍사무소,129.3462,35.991858,해도119안전센터,129.36826,36.0235
20200328054341,20200328054939,101,양덕-고속터미널-동해,일반,N,N,환호해맞이그린빌,129.392404,36.068838,두호동주민센터,129.37891,36.06037
20200328054519,20200328060252,107,문덕-시외(고속)터미널-흥해,일반,N,N,경북자동차학원,129.343972,35.997978,오거리,129.366312,36.031816
20200328054531,20200328055007,109,양덕-시외터미널-위덕대(유강),일반,N,N,대동우방아파트,129.360209,36.050494,중앙상가,129.365461,36.03783
20200328054535,20200328055528,131,양덕-송도-시청-양학-양덕,일반,N,N,양학초등학교,129.34354,36.0323,죽도시장,129.365169,36.035704
20200328054550,20200328060953,105,양덕-시외터미널-지곡,일반,N,N,포항테크노파크,129.31582,36.03172,죽도시장,129.365169,36.035704
20200328054608,20200328055541,101,양덕-고속터미널-동해,일반,N,N,노인복지회관,129.38477,36.065685,죽도시장,129.365486,36.03411
20200328054611,20200328055502,101,양덕-고속터미널-동해,일반,N,N,노인복지회관,129.38477,36.065685,중앙상가,129.365281,36.037455
20200328054621,20200328055009,109,양덕-시외터미널-위덕대(유강),일반,N,N,우현경로당,129.362232,36.049878,중앙상가,129.365461,36.03783
20200328054716,20200328055415,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,현진에버빌3단지,129.37871,36.06857,선린병원,129.367635,36.04781
20200328054729,20200328060217,107,문덕-시외(고속)터미널-흥해,일반,N,N,SK뷰2차,129.340088,36.008734,오거리,129.366312,36.031816
20200328054851,20200328060121,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장성초등학교,129.37209,36.06831,죽도시장,129.365717,36.033299
20200328055000,20200328060439,107,문덕-시외(고속)터미널-흥해,일반,N,N,흥해공고,129.342364,36.103983,죽도시장,129.365486,36.03411
20200328055007,20200328060113,510,문덕-흥해-청하-보경사-청하-흥해-문덕,일반,N,N,동해주유소,129.343489,35.993624,죽도시장,129.365169,36.035704
20200328055010,20200328060624,175,문덕-고속터미널-선린병원-달전,일반,N,N,삼도미래2단지,129.332996,36.078498,북구청,129.367128,36.041941
20200328055050,20200328060102,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,두호초등학교,129.371202,36.064088,죽도시장,129.365717,36.033299
20200328055058,20200328055447,105,양덕-시외터미널-지곡,일반,Y,N,장성초등학교,129.37209,36.06831,창포사거리,129.37165,36.06092
20200328055158,20200328061535,200,양덕-남구청(야구장)-구룡포,일반,N,N,구룡포시장,129.552554,35.988483,시외버스터미널,129.35058,36.01325
20200328055214,20200328062503,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,동일교회,129.36141,36.01332,대림골든빌,129.38038,36.081053
20200328055219,20200328055402,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,우방비치타운,129.376287,36.054774,선린병원,129.367635,36.04781
20200328055313,20200328060413,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,죽도시장,129.365717,36.033299
20200328055336,20200328062804,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,청하사거리,129.350465,36.201753,북부시장,129.368033,36.045153
20200328055338,20200328065807,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,청하사거리,129.350465,36.201753,문덕사거리,129.403623,35.962553
20200328055435,20200328061524,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,장량5단지,129.394611,36.089082,죽도시장,129.365717,36.033299
20200328055450,20200328062234,101,양덕-고속터미널-동해,일반,N,N,동해면사무소,129.440228,35.988834,오거리,129.366312,36.031816
20200328055453,20200328060348,107,문덕-시외(고속)터미널-흥해,일반,N,N,삼도드림파크(하),129.340292,36.076041,중앙상가,129.365281,36.037455
20200328055453,20200328061716,101,양덕-고속터미널-동해,일반,N,N,동해면사무소,129.440228,35.988834,대해시장,129.369728,36.018909
20200328055514,20200328060639,131,양덕-송도-시청-양학-양덕,일반,N,N,낙천대,129.39065,36.075809,중앙상가,129.365281,36.037455
20200328055711,20200328060926,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,양학초등학교,129.34377,36.032007,시외버스터미널,129.35058,36.01325
20200328055723,20200328060008,105,양덕-시외터미널-지곡,일반,N,N,고용복지플러스센터,129.358125,36.022995,산업은행,129.353856,36.017736
20200328055801,20200328060859,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,이동삼성아파트,129.339773,36.032395,시외버스터미널,129.35058,36.01325
20200328055817,20200328062050,101,양덕-고속터미널-동해,일반,N,N,남부소방서,129.4185,35.99312,오거리,129.366312,36.031816
20200328055843,20200328060412,107,문덕-시외(고속)터미널-흥해,일반,N,N,유성여고,129.3582,36.05397,중앙상가,129.365281,36.037455
20200328055847,20200328060910,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,이동이마트,129.338662,36.03117,시외버스터미널,129.35058,36.01325
20200328055847,20200328061245,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,북구보건소,129.379384,36.07079,선린병원,129.367635,36.04781
20200328055901,20200328061640,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,문화예술회관,129.365538,36.010922,오거리,129.366312,36.031816
20200328060011,20200328064001,109,양덕-시외터미널-위덕대(유강),일반,N,N,삼구4차,129.392269,36.089308,시외버스터미널,129.35029,36.01328
20200328060019,20200328064641,210,양덕-우현사거리-KTX-남부육교-공항-동해-구룡포,일반,N,N,구룡포환승센터,129.556133,35.990988,KTX포항역(흥해행),129.342018,36.072283
20200328060112,20200328060934,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,이동삼성아파트,129.341263,36.032277,죽도파출소,129.362644,36.028456
20200328060127,20200328060448,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,죽도시장,129.365717,36.033299,남부초등학교,129.35541,36.02891
20200328060337,20200328062947,107,문덕-시외(고속)터미널-흥해,일반,N,N,죽도시장,129.365169,36.035704,흥해환승센터,129.34709,36.11024
20200328060437,20200328061004,105,양덕-시외터미널-지곡,일반,N,N,고용복지플러스센터,129.3584,36.023057,죽도시장,129.365169,36.035704
20200328060542,20200328063010,105,양덕-시외터미널-지곡,청소년,N,N,제철유치원,129.323627,36.02952,시외버스터미널,129.35058,36.01325
20200328060621,20200328063001,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,LG빌라입구,129.317277,36.027317,죽도시장,129.365169,36.035704
20200328060646,20200328062131,105,양덕-시외터미널-지곡,일반,N,N,럭키아파트,129.37919,36.06511,죽도시장,129.365717,36.033299
20200328060649,20200328062105,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,포항교회,129.38139,36.07678,죽도시장,129.365717,36.033299
20200328060710,20200328061907,107,문덕-시외(고속)터미널-흥해,일반,N,N,시외버스터미널,129.35058,36.01325,해도119안전센터,129.368554,36.023212
20200328060731,20200328061219,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,흥해환승센터,129.34709,36.11024,흥해공고,129.342364,36.103983
20200328060854,20200328061358,105,양덕-시외터미널-지곡,일반,N,N,고용복지플러스센터,129.358125,36.022995,교보생명,129.352235,36.015721
20200328060855,20200328061558,175,문덕-고속터미널-선린병원-달전,일반,N,N,중앙상가,129.365281,36.037455,형산로타리,129.37085,36.013519
20200328061110,20200328062637,200,양덕-남구청(야구장)-구룡포,일반,N,N,구룡포시장,129.552554,35.988483,청림삼거리,129.402648,35.994424
20200328061133,20200328062022,105,양덕-시외터미널-지곡,일반,N,N,장성초등학교,129.37209,36.06831,중앙상가,129.365461,36.03783
20200328061136,20200328062214,107,문덕-시외(고속)터미널-흥해,일반,N,N,상대파출소,129.358699,36.014976,오거리,129.366312,36.031816
20200328061140,20200328062056,105,양덕-시외터미널-지곡,일반,N,N,장성초등학교,129.37209,36.06831,중앙상가,129.365461,36.03783
20200328061228,20200328061954,105,양덕-시외터미널-지곡,일반,N,N,두호초등학교,129.371202,36.064088,북구청,129.367128,36.041941
20200328061238,20200328064848,175,문덕-고속터미널-선린병원-달전,일반,N,N,부영사랑3차,129.40252,35.973038,죽도시장,129.365169,36.035704
